APL,thickness,bending,tilt,zorder,compress,sterol.present,tails,sterol.conc
0.737796,3.629743,10.5291,15.1278,0.199022,28.771571,yes,DO,20
0.729718,3.664472,10.6864,15.5792,0.204165,28.731292,yes,DO,20
0.745652,3.599417,10.3703,14.6316,0.192803,27.964453,yes,DO,20
0.726373,3.681508,10.8999,15.621,0.20605,30.290474,yes,DO,20
0.712071,3.73561,11.1561,17.094,0.217282,28.61355,yes,DO,20
0.750133,3.580446,10.2747,14.3351,0.191633,28.036976,yes,DO,20
0.833572,3.228598,7.46178,9.76265,0.051238,14.177547,yes,DI,20
0.849144,3.178407,7.55497,9.37125,0.047686,14.396756,yes,DI,20
0.774218,3.448846,7.75587,11.4139,0.064455,13.080438,yes,DI,20
0.815116,3.295124,7.54788,10.1971,0.055645,13.827666,yes,DI,20
0.827579,3.249904,7.51129,9.89769,0.053578,14.604608,yes,DI,20
0.794696,3.368876,7.39613,10.9043,0.060753,13.489169,yes,DI,20
0.802075,3.335398,7.45389,10.555,0.059151,13.56155,yes,DI,20
0.688836,3.90142,14.1501,20.1372,0.288309,40.607551,yes,PO,20
0.696715,3.884717,13.7734,19.0058,0.278957,38.084556,yes,PO,20
0.686861,3.913028,14.089,20.3507,0.291406,42.460393,yes,PO,20
0.661618,4.006615,15.9228,24.341,0.326529,45.966119,yes,PO,20
0.671468,3.97428,14.9617,22.6733,0.312245,45.108759,yes,PO,20
0.68058,3.936829,14.5895,21.0618,0.299191,41.445333,yes,PO,20
0.674112,3.962316,14.9967,22.4845,0.307772,42.540822,yes,PO,20
0.841585,3.1934,7.30929,9.54158,0.048558,13.291163,yes,DI,20
0.858085,3.138457,7.31773,9.14919,0.045231,12.89671,yes,DI,20
0.778888,3.428289,7.45875,11.0154,0.05994,11.466282,yes,DI,20
0.820584,3.268391,7.29552,9.85089,0.053888,11.938407,yes,DI,20
0.834703,3.216341,7.36082,9.52691,0.050133,13.234433,yes,DI,20
0.798302,3.344581,7.39342,10.3615,0.057246,11.333801,yes,DI,20
0.806721,3.312478,7.28529,10.1736,0.054592,12.337173,yes,DI,20
0.741303,3.642931,10.8143,14.8192,0.201623,33.153048,yes,DO,20
0.723773,3.708165,11.0331,16.3251,0.213256,33.958824,yes,DO,20
0.716664,3.737234,11.4199,16.7952,0.21927,35.186443,yes,DO,20
0.730129,3.685561,11.0125,15.6831,0.208385,35.075077,yes,DO,20
0.714783,3.74664,11.2721,16.8581,0.21992,35.356097,yes,DO,20
0.702295,3.78356,11.6777,18.0729,0.231798,34.723785,yes,DO,20
0.732842,3.675223,11.0649,15.3798,0.206623,33.075816,yes,DO,20
0.68012,3.96756,14.8283,21.1126,0.300934,45.919943,yes,PO,20
0.6871,3.952037,14.1517,20.0863,0.292325,43.334657,yes,PO,20
0.677825,3.967552,14.8449,21.5856,0.303627,46.776984,yes,PO,20
0.657217,4.031255,16.2099,25.5997,0.336817,50.874915,yes,PO,20
