APL,thickness,bending,tilt,zorder,compress
0.480755013,0.522769991,0.151503431,0.090130823,0.379243141,0.051099246
0.461691454,0.538089841,0.159592613,0.097781972,0.397512555,0.056357016
0.429909785,0.575620235,0.176387692,0.120682034,0.432044217,0.067430452
0.452595102,0.548880211,0.164090953,0.105355307,0.406047438,0.058111318
0.374837282,0.627687927,0.238376262,0.15910698,0.518022229,0.085983865
0.376349939,0.62941406,0.234934805,0.157061637,0.51607488,0.088045053
0.378785611,0.623155857,0.232700414,0.160760537,0.513586969,0.041802331
0.385711629,0.619368521,0.225516332,0.148863525,0.50289538,0.086335643
0.407371878,0.592018933,0.209257284,0.131714944,0.472495466,0.076647064
0.407966055,0.593457858,0.208773179,0.1308712,0.46944484,0.074632678
0.191293265,0.869724473,0.718614533,0.595640944,0.899812321,0.393328892
0.359486196,0.64444033,0.252394529,0.17328685,0.541646299,0.095007673
0.201090383,0.850947119,0.628610998,0.663072575,0.88118401,0.151988321
0.34278347,0.667168541,0.27059399,0.194747345,0.570397945,0.09942034
0.176386678,0.875594389,0.769628465,0.758603358,0.924282679,0.520836576
0.178849564,0.879821096,0.719593127,0.759485556,0.921173345,0.028204856
0.185750636,0.872354881,0.753433325,0.570740327,0.908119017,0.426043984
0.33350569,0.674077955,0.285266517,0.207599393,0.587824393,0.097276896
0.736557311,0.218603399,0.078448355,0.027268528,0.160590616,0.039834806
0.674198201,0.271770515,0.08061724,0.034048789,0.176209287,0.044265195
0.652787416,0.29059488,0.080866482,0.036094584,0.182813437,0.043747878
0.696214502,0.253306629,0.078699993,0.031422099,0.170238745,0.040760898
0.63649744,0.301555743,0.081908984,0.03742693,0.186901984,0.043485358
0.606262445,0.33261781,0.083006608,0.041843804,0.194626025,0.046830281
0.706358602,0.245221217,0.078070098,0.030616358,0.16963726,0.041662364
0.614968726,0.337040629,0.083505891,0.042153252,0.178606365,0.052176517
0.632324593,0.320940505,0.082947493,0.038945669,0.173518666,0.054235833
0.60813569,0.34192073,0.084027542,0.042973018,0.179141387,0.053989667
0.678162405,0.28596258,0.081329017,0.034563631,0.163109542,0.048040809
0.581889846,0.363042489,0.085983932,0.046784115,0.185859631,0.056468862
0.656579264,0.301980885,0.083058533,0.037850385,0.16879208,0.049150616
0.648709819,0.310714342,0.083597759,0.03751515,0.171528116,0.05129309
0.595399437,0.360414975,0.09857385,0.047841396,0.253015483,0.052643917
0.621955976,0.33250188,0.097010495,0.04331142,0.2416061,0.05029792
0.58790192,0.367008118,0.099959859,0.048823577,0.257630191,0.053059822
0.513241984,0.43753264,0.111516861,0.066817711,0.29769485,0.062574498
0.540494754,0.40954204,0.106045519,0.058451755,0.280455604,0.059982079
0.569459752,0.38337378,0.103697691,0.051983205,0.265237924,0.055009021
0.550763586,0.401343933,0.105109264,0.05547852,0.274096258,0.058132293
0.18944043,0.880061591,0.734292016,0.616207479,0.904960944,0.452037082
0.345103482,0.672654306,0.273919614,0.194546023,0.56799422,0.104464972
0.190109447,0.876745748,0.734439005,0.637927657,0.904125733,0.450555457
0.349734435,0.668481627,0.266702779,0.186812988,0.558463508,0.099759861
0.200500742,0.874423665,0.679791092,0.545260626,0.886905318,0.159994058
0.36830587,0.651974428,0.245030705,0.166682576,0.529439366,0.101835058
0.18169345,0.883700232,0.780335487,0.691918203,0.916110016,0.534537915
0.321073329,0.702845851,0.304744942,0.25707444,0.615384147,0.019392325
0.177382264,0.879157913,0.778057958,0.741144876,0.921273039,0.545778668
0.191247908,0.872526576,0.683214175,0.655969746,0.897280103,0.043190642
0.174415915,0.873339513,0.79093067,0.784974305,0.925860054,0.598483875
0.179697741,0.873090265,0.775613469,0.594871848,0.921773723,0.098843859
0.178763386,0.874196471,0.763203293,0.767343909,0.922413977,0.607457507
0.200190046,0.857806195,0.660553921,0.699509633,0.879526881,0.063571619
0.413984932,0.571874499,0.200627278,0.126458851,0.46149815,0.069927869
0.415143804,0.568077844,0.201534775,0.125047333,0.459765696,0.067659223
0.426730257,0.556314259,0.19153953,0.118489206,0.446209576,0.066830045
0.42555551,0.555396691,0.191692111,0.118950211,0.446403424,0.063979032
0.457128537,0.518252124,0.176376508,0.101534709,0.411161722,0.054738544
0.459893048,0.516134566,0.172449348,0.100600935,0.407893986,0.05464615
0.391905131,0.592880098,0.216460538,0.142447454,0.491226793,0.079425339
0.393125235,0.594693947,0.21629917,0.142988535,0.490877866,0.071865277
0.370693917,0.621172595,0.234899655,0.163854565,0.521972312,0.090617433
0.371410558,0.620649085,0.231601193,0.160867305,0.521018577,0.08643885
0.327847401,0.672628853,0.285953531,0.21713709,0.596353738,0.094807654
0.329489325,0.668741518,0.284113773,0.216980556,0.593099295,0.089945492
0.36093762,0.630053286,0.245598689,0.171104427,0.538346439,0.093139276
0.361107709,0.631974096,0.246013294,0.170547963,0.537568829,0.087954044
0.762442567,0.204093534,0.064202016,0.02314934,0.045840022,0.038847698
0.786758469,0.192417932,0.065549041,0.021170501,0.044798335,0.041793369
0.682720787,0.258531728,0.064657042,0.029812427,0.063352651,0.039285873
0.738097182,0.220856767,0.06463076,0.024884783,0.051105508,0.040480439
0.756301225,0.207788384,0.062963235,0.023835645,0.049700714,0.040466772
0.709327219,0.240055706,0.065370098,0.027793323,0.056930054,0.037159854
0.720832029,0.235221839,0.064403965,0.026741923,0.055911628,0.039754911
0.614982333,0.362730386,0.089706585,0.043041784,0.209513609,0.077081842
0.583590734,0.377840087,0.091921005,0.049221697,0.22352832,0.075741831
0.571156105,0.382419966,0.091783602,0.051579203,0.231962402,0.080646966
0.593476299,0.370103771,0.090772255,0.047099445,0.221332844,0.079245849
0.563597357,0.386464071,0.094551627,0.053633594,0.235774022,0.079961856
0.545626902,0.397603403,0.09518991,0.05731847,0.2416205,0.080478309
