APL,thickness,bending,tilt,zorder,compress,sterol.present,tails,sterol.conc
0.461299,0.528839,0.153891,0.098525,0.389764,0.049876,yes,DP,20
0.495614,0.492356,0.141292,0.082843,0.35713,0.041645,yes,DP,20
0.541125,0.452363,0.127036,0.067587,0.323837,0.036843,yes,DP,20
0.549437,0.441077,0.124193,0.066552,0.318112,0.036273,yes,DP,20
0.580627,0.413758,0.117412,0.056443,0.297271,0.031575,yes,DP,20
0.51902,0.474891,0.13301,0.073325,0.341192,0.041134,yes,DP,20
0.495383,0.499362,0.139663,0.081329,0.360863,0.042807,yes,DP,20
0.452173,0.539665,0.160315,0.10274,0.401022,0.054869,yes,DP,20
0.48244,0.508557,0.147814,0.08913,0.37257,0.046798,yes,DP,20
0.627759,0.321833,0.093215,0.041368,0.23605,0.04489,yes,PO,20
0.659888,0.294199,0.091243,0.037502,0.224912,0.040707,yes,PO,20
0.616949,0.330494,0.094222,0.043002,0.237153,0.044963,yes,PO,20
0.531621,0.416215,0.105242,0.059745,0.278287,0.054999,yes,PO,20
0.560293,0.386602,0.100715,0.052651,0.264163,0.051477,yes,PO,20
0.595592,0.351938,0.095914,0.045597,0.248208,0.047007,yes,PO,20
0.572564,0.371598,0.099072,0.049732,0.256045,0.048087,yes,PO,20
0.661847,0.327851,0.087334,0.034961,0.212982,0.033637,yes,PO,20
0.683331,0.312909,0.082992,0.031979,0.205402,0.033848,yes,PO,20
0.655561,0.333479,0.085668,0.036554,0.215227,0.035289,yes,PO,20
0.585596,0.393622,0.092497,0.047619,0.2414,0.039912,yes,PO,20
0.614642,0.365038,0.089156,0.042122,0.228157,0.038904,yes,PO,20
0.639489,0.346504,0.086279,0.037459,0.220826,0.036427,yes,PO,20
0.621822,0.360116,0.088579,0.041148,0.225264,0.038877,yes,PO,20
0.496768,0.507925,0.145591,0.084369,0.363489,0.047943,yes,DP,20
0.506627,0.497629,0.140925,0.081265,0.354198,0.047196,yes,DP,20
0.530167,0.477012,0.13426,0.070569,0.33542,0.04297,yes,DP,20
0.480755,0.52277,0.151503,0.090131,0.379243,0.051099,yes,DP,20
0.461691,0.53809,0.159593,0.097782,0.397513,0.056357,yes,DP,20
0.42991,0.57562,0.176388,0.120682,0.432044,0.06743,yes,DP,20
0.452595,0.54888,0.164091,0.105355,0.406047,0.058111,yes,DP,20
0.374837,0.627688,0.238376,0.159107,0.518022,0.085984,yes,DP,20
0.37635,0.629414,0.234935,0.157062,0.516075,0.088045,yes,DP,20
0.378786,0.623156,0.2327,0.160761,0.513587,0.041802,yes,DP,20
0.385712,0.619369,0.225516,0.148864,0.502895,0.086336,yes,DP,20
0.407372,0.592019,0.209257,0.131715,0.472495,0.076647,yes,DP,20
0.407966,0.593458,0.208773,0.130871,0.469445,0.074633,yes,DP,20
0.191293,0.869724,0.718615,0.595641,0.899812,0.393329,yes,DP,20
0.359486,0.64444,0.252395,0.173287,0.541646,0.095008,yes,DP,20
0.20109,0.850947,0.628611,0.663073,0.881184,0.151988,yes,DP,20
0.342783,0.667169,0.270594,0.194747,0.570398,0.09942,yes,DP,20
0.176387,0.875594,0.769628,0.758603,0.924283,0.520837,yes,DP,20
0.17885,0.879821,0.719593,0.759486,0.921173,0.028205,yes,DP,20
0.185751,0.872355,0.753433,0.57074,0.908119,0.426044,yes,DP,20
0.333506,0.674078,0.285267,0.207599,0.587824,0.097277,yes,DP,20
0.736557,0.218603,0.078448,0.027269,0.160591,0.039835,yes,DO,20
0.674198,0.271771,0.080617,0.034049,0.176209,0.044265,yes,DO,20
0.652787,0.290595,0.080866,0.036095,0.182813,0.043748,yes,DO,20
0.696215,0.253307,0.0787,0.031422,0.170239,0.040761,yes,DO,20
0.636497,0.301556,0.081909,0.037427,0.186902,0.043485,yes,DO,20
0.606262,0.332618,0.083007,0.041844,0.194626,0.04683,yes,DO,20
0.706359,0.245221,0.07807,0.030616,0.169637,0.041662,yes,DO,20
0.614969,0.337041,0.083506,0.042153,0.178606,0.052177,yes,PI,20
0.632325,0.320941,0.082947,0.038946,0.173519,0.054236,yes,PI,20
0.608136,0.341921,0.084028,0.042973,0.179141,0.05399,yes,PI,20
0.678162,0.285963,0.081329,0.034564,0.16311,0.048041,yes,PI,20
0.58189,0.363042,0.085984,0.046784,0.18586,0.056469,yes,PI,20
0.656579,0.301981,0.083059,0.03785,0.168792,0.049151,yes,PI,20
0.64871,0.310714,0.083598,0.037515,0.171528,0.051293,yes,PI,20
0.595399,0.360415,0.098574,0.047841,0.253015,0.052644,yes,PO,20
0.621956,0.332502,0.09701,0.043311,0.241606,0.050298,yes,PO,20
0.587902,0.367008,0.09996,0.048824,0.25763,0.05306,yes,PO,20
0.513242,0.437533,0.111517,0.066818,0.297695,0.062574,yes,PO,20
0.540495,0.409542,0.106046,0.058452,0.280456,0.059982,yes,PO,20
0.56946,0.383374,0.103698,0.051983,0.265238,0.055009,yes,PO,20
